FILENAME,MINIMUM,MAXIMUM,AVERAGE,U-VALUE 1,U-VALUE 2,U-VALUE 3,U-VALUE 4
0174_MWIR.jpg,4.117794,10.329327,8.019292225901376,0.7751377219180581,1.063451119458361,0.31466586392507234,0.30780054779879923
0175_MWIR.jpg,4.13987,10.428104,8.261846644085407,0.8136799231439752,1.117851711764637,0.33150853430909444,0.3239725653901821
0176_MWIR.jpg,5.106049,10.171658,8.30286018893715,0.8201633750039906,1.126872021354823,0.33424429753119567,0.32663005250600124
0177_MWIR.jpg,6.065495,9.740387,8.270396993652442,0.8149757297929157,1.1194388094458734,0.3318951098509831,0.324401188192505
0178_MWIR.jpg,4.29554,10.359531,8.249662456808371,0.8117526445830171,1.1151663991095158,0.3306925416440927,0.32318109665202
0179_MWIR.jpg,4.209538,10.803181,8.290894543428049,0.8183385582158768,1.1245940034280089,0.33366868629291735,0.32600762966576036
0180_MWIR.jpg,4.992886,10.453297,8.293417907310637,0.8187309776267787,1.1251134124134465,0.33381419689572667,0.32615504078394414
0181_MWIR.jpg,4.190716,10.572163,8.317314574371927,0.8225338555881218,1.130501945166538,0.3354913949266687,0.327760199429297
0182_MWIR.jpg,4.191219,10.436527,8.064329246412663,0.7823199352537167,1.0736886917504758,0.31787911595482377,0.310862364616818
0183_MWIR.jpg,4.085545,10.861584,8.129647657958664,0.7927074767203978,1.0883802798881768,0.3224402324904474,0.31523404769135877
0184_MWIR.jpg,4.085163,10.608974,8.104028471444314,0.7886242360482406,1.0825702980909568,0.3206213723442506,0.3134989394017896
0185_MWIR.jpg,4.317833,10.477993,8.177183478691347,0.8002019648649406,1.098730763093677,0.32554601147573964,0.31827006618324566
0186_MWIR.jpg,4.569778,10.501637,8.13942888731868,0.7942215839350478,1.0903620616756202,0.3229863071227419,0.3157950129102766
0187_MWIR.jpg,4.34174,10.850239,8.187887457408156,0.8019670511037542,1.10147059219384,0.3265022700283531,0.3191296557976634
0188_MWIR.jpg,4.236088,10.653942,8.123952024338468,0.7918157869505003,1.0871776751877646,0.3220931904837691,0.3148889763092226
0189_MWIR.jpg,4.254044,11.038738,8.111679259760304,0.7898826164948771,1.084513936666085,0.32129647199002104,0.31410840508400256
0190_MWIR.jpg,4.230114,10.686657,8.076131103025547,0.7842330030790723,1.0765375866858513,0.3188263642021724,0.31173765880363785
0191_MWIR.jpg,4.133194,10.77103,8.13070682764871,0.7929288428443515,1.088903289085496,0.32269484258600806,0.31543050190515803
0192_MWIR.jpg,4.238071,10.5005,8.062971272125525,0.7821512031414439,1.0736368191004857,0.31794495126193684,0.31088298024484734
0193_MWIR.jpg,5.065357,10.96899,8.449464609960147,0.8436002451164148,1.1604944254908154,0.3448886757490478,0.336721367937274
0194_MWIR.jpg,4.093616,10.714741,8.322717518390812,0.8234683018773644,1.1321168796027412,0.33612053409039944,0.3282951908149436
0195_MWIR.jpg,4.72496,10.355442,7.86251311027263,0.7503119241404566,1.0287556072933435,0.30407610951185565,0.29755422361772504
