FILENAME,SUM OF SQUARED DISTANCE
0066_MWIR.jpg,1507518911.28815
0066_MWIR.jpg,539218440.8221235
0066_MWIR.jpg,376609418.6039734
0066_MWIR.jpg,265167907.94711974
0066_MWIR.jpg,188127831.69998127
0066_MWIR.jpg,155635174.31135347
0066_MWIR.jpg,128410047.01322414
0066_MWIR.jpg,105285406.77017927
0066_MWIR.jpg,94021390.03598334
0066_MWIR.jpg,81725331.87927629
0066_MWIR.jpg,72769045.74322525
0066_MWIR.jpg,64594896.163419515
0066_MWIR.jpg,57451515.97249009
0066_MWIR.jpg,52273338.7970849
0066_MWIR.jpg,48009162.12934324
0066_MWIR.jpg,44511528.81045083
0066_MWIR.jpg,41208331.05349372
0066_MWIR.jpg,38638364.69947141
0066_MWIR.jpg,36592475.94994266
0066_MWIR.jpg,34726473.24780744
0067_MWIR.jpg,1507518911.28815
0067_MWIR.jpg,539218440.8221235
0067_MWIR.jpg,376609418.6039734
0067_MWIR.jpg,265167907.94711974
0067_MWIR.jpg,188127831.69998127
0067_MWIR.jpg,155635174.31135347
0067_MWIR.jpg,128410047.01322414
0067_MWIR.jpg,105285406.77017927
0067_MWIR.jpg,94021390.03598334
0067_MWIR.jpg,81725331.87927629
0067_MWIR.jpg,72769045.74322525
0067_MWIR.jpg,64594896.163419515
0067_MWIR.jpg,57451515.97249009
0067_MWIR.jpg,52273338.7970849
0067_MWIR.jpg,48009162.12934324
0067_MWIR.jpg,44511528.81045083
0067_MWIR.jpg,41208331.05349372
0067_MWIR.jpg,38638364.69947141
0067_MWIR.jpg,36592475.94994266
0067_MWIR.jpg,34726473.24780744
0817_MWIR.jpg,1507518911.28815
0817_MWIR.jpg,539218440.8221235
0817_MWIR.jpg,376609418.6039734
0817_MWIR.jpg,265167907.94711974
0817_MWIR.jpg,188127831.69998127
0817_MWIR.jpg,155635174.31135347
0817_MWIR.jpg,128410047.01322414
0817_MWIR.jpg,105285406.77017927
0817_MWIR.jpg,94021390.03598334
0817_MWIR.jpg,81725331.87927629
0817_MWIR.jpg,72769045.74322525
0817_MWIR.jpg,64594896.163419515
0817_MWIR.jpg,57451515.97249009
0817_MWIR.jpg,52273338.7970849
0817_MWIR.jpg,48009162.12934324
0817_MWIR.jpg,44511528.81045083
0817_MWIR.jpg,41208331.05349372
0817_MWIR.jpg,38638364.69947141
0817_MWIR.jpg,36592475.94994266
0817_MWIR.jpg,34726473.24780744
